epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1767.65,0.9706,2.21506,1.11875,0.53628,0.35109,0.38248,0.30076,0.83098,1.56041,1.02086,0.067,3.3033e-05,3.3033e-05
2,3641.54,0.79221,1.19992,1.00509,0.71431,0.39993,0.47039,0.37336,0.72465,1.19656,0.95073,0.0336934,5.97304e-05,5.97304e-05
3,5802.87,0.71867,0.92972,0.96114,0.81345,0.46846,0.58148,0.47527,0.66127,0.89571,0.91391,0.000380062,7.97618e-05,7.97618e-05
4,8811.66,0.65315,0.80218,0.93334,0.81111,0.52327,0.62626,0.51311,0.61347,0.79104,0.90193,7.0003e-05,7.0003e-05,7.0003e-05
