epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,889.607,1.25908,2.63608,1.2706,0.34379,0.26253,0.24875,0.17014,1.24925,2.56793,1.32912,0.0671493,0.000331825,0.000331825
2,1742.7,1.23001,1.87181,1.24967,0.52292,0.35983,0.3705,0.26542,1.01888,1.76163,1.10304,0.034067,0.000582845,0.000582845
3,2547.48,1.16172,1.61247,1.19818,0.61821,0.3908,0.42213,0.30469,1.01773,1.73106,1.08639,0.000902195,0.000751365,0.000751365
4,3320.43,1.10702,1.44148,1.16009,0.71487,0.45369,0.52652,0.38991,0.94383,1.21462,1.06057,0.00062875,0.00062875,0.00062875
5,4125.73,1.02214,1.31089,1.12311,0.76249,0.52208,0.59268,0.43009,0.85958,1.10423,0.99227,0.000505,0.000505,0.000505
6,4940.1,0.96866,1.18877,1.09173,0.7625,0.54088,0.61327,0.45402,0.81756,1.01398,0.98711,0.00038125,0.00038125,0.00038125
7,6239.77,0.91572,1.08462,1.06767,0.82164,0.54226,0.64068,0.48352,0.73382,0.9125,0.94638,0.0002575,0.0002575,0.0002575
8,7450.19,0.83978,0.9803,1.02134,0.82725,0.57111,0.66061,0.51348,0.6954,0.81057,0.92671,0.00013375,0.00013375,0.00013375
