epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2453.75,1.14296,1.3762,1.22814,0.74037,0.45473,0.52638,0.3679,1.08599,1.33662,1.22558,0.0671493,0.000331825,0.000331825
2,4419.53,1.11798,1.17583,1.18765,0.82005,0.53831,0.6255,0.44995,0.99538,1.08127,1.11568,0.034067,0.000582845,0.000582845
3,6200.87,1.0998,1.08715,1.1719,0.83336,0.61393,0.70319,0.49985,0.94297,0.88182,1.07191,0.000902195,0.000751365,0.000751365
4,7986.55,1.03892,0.97492,1.14162,0.81086,0.59303,0.67752,0.50581,0.87622,0.88264,1.05273,0.00062875,0.00062875,0.00062875
5,9762.69,0.92963,0.87785,1.07777,0.87395,0.64847,0.73072,0.56792,0.7914,0.72107,0.98593,0.000505,0.000505,0.000505
6,11536.4,0.87482,0.78989,1.05335,0.90176,0.64846,0.74676,0.58669,0.73605,0.65974,0.96937,0.00038125,0.00038125,0.00038125
7,13712.8,0.81114,0.72195,1.03187,0.89294,0.67562,0.76558,0.61389,0.68545,0.60772,0.94942,0.0002575,0.0002575,0.0002575
8,15958.4,0.74019,0.64192,0.98858,0.90777,0.70515,0.78149,0.64,0.63945,0.54015,0.92255,0.00013375,0.00013375,0.00013375
